,Unnamed: 0,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn
373,408,ISME Journal,5800173382,17517362,17517370,Journal,1.0,17517370
374,409,Journal of Proteomics,11700154304,18743919,18767737,Journal,1.0,18767737
375,410,Current Opinion in Neurobiology,14992,09594388,18736882,Journal,1.0,18736882
376,411,Zebrafish,130177,15458547,,Journal,1.0,15458547
377,412,Antarctic Science,13040,09541020,13652079,Journal,1.0,13652079
378,413,Environmental Health Perspectives,21003,00916765,15529924,Journal,1.0,15529924
379,414,Molecular Neurobiology,14160,08937648,15591182,Journal,1.0,15591182
380,415,Ecology of Freshwater Fish,21449,09066691,16000633,Journal,1.0,16000633
381,416,Psyche (London),21100927282,00332615,16877438,Journal,1.0,16877438
382,417,Arctic,19348,00040843,19231245,Journal,1.0,19231245
383,419,Limnology and Oceanography: Methods,4400151737,,15415856,Journal,1.0,15415856
384,420,Bulletin of Insectology,19700173110,17218861,,Journal,1.0,17218861
385,421,Nature Methods,21100778827,15487091,15491676,Journal,1.0,15491676
386,422,Cell Stem Cell,6100153018,19345909,18759777,Journal,1.0,18759777
387,423,Journal of Chemical Ecology,23342,00980331,15731561,Journal,1.0,15731561
388,424,Aquatic Invasions,20000195048,17986540,,Journal,1.0,17986540
389,425,Drugs in R and D,21264,11745886,11796901,Journal,1.0,11796901
390,426,Ambio,22704,00447447,,Journal,1.0,00447447
391,428,Iranian Journal of Fisheries Sciences,19900193543,15622916,,Journal,1.0,15622916
392,429,Cellular and Molecular Gastroenterology and Hepatology,21100386500,,2352345X,Journal,1.0,2352345X
393,430,Endangered Species Research,10900153309,18635407,16134796,Journal,1.0,16134796
